measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2011,7439.220893563998,9727.47419848433,1435.808377818663
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2011,3926.616586376982,6348.968572502151,384.3153788252702
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2011,11365.837479940992,15537.562536115824,2068.2332721720272
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2012,7443.575564334151,9798.584364327793,1383.03734004376
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2012,4228.032556434461,6776.191894713117,366.0345007042063
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2012,11671.608120768597,15939.778557289072,1955.4446658397792
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2013,7761.511872642113,10143.099718789405,1777.0945892137797
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2013,4435.605474878885,7061.033221484411,498.57381730723677
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2013,12197.117347521022,16588.197742462573,2513.0688085714673
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2017,6957.14142287736,9635.611603614745,1359.8997913896144
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2017,4453.8090825278405,7338.775237361719,429.5043554664347
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2017,11410.950505405212,16245.863663176162,2085.802917308486
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2015,8641.000130053268,11079.943555958005,2925.5244293442834
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2015,4930.340505217362,7605.619982955432,878.3031103082124
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2015,13571.340635270628,18043.05510874562,4071.0939714222313
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2016,6963.929122010702,9354.227729247887,1438.364508706133
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2016,4433.655560438973,7218.609075602396,421.58573514232086
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2016,11397.58468244967,15936.194720139583,2143.9263418563864
1,Deaths,163,India,1,Male,22,All ages,842,Environmental heat and cold exposure,1,Number,2019,6819.762785065396,9910.135280589027,1321.8532586970284
1,Deaths,163,India,2,Female,22,All ages,842,Environmental heat and cold exposure,1,Number,2019,4527.912919640422,7635.3575489778,376.36612264524217
1,Deaths,163,India,3,Both,22,All ages,842,Environmental heat and cold exposure,1,Number,2019,11347.675704705805,16580.88944407386,1958.8447110857246
